,Loyalty_Program_Status,Gender,CustomerSatisfaction,Installment_Number,Total_Installments,Installment_Amount,Principal_Amount,Interest_Amount,Amount_Due,Currency,Payment_Method,Order Status,Delay_Days,Repayment_Status,Total_Loans,Segment,Quantity,Unit Price,Total Amount,Discount Applied (%),Tax (%),Payment_Mode,Month Order Count,Avg Qantity,Cancelled Order Per Customer,Order Channel,ProductCategory,ProductBrand,ProductCategory2,Cost Price,Discount (%),PurchaseFrequency,Stock Status,Product Status,Customers_Location,Customer_Duration,Age_Group,installment_to_principal_ratio,interest_to_amount_due_ratio,remaining_installments,amount_per_unit,loans_per_purchase_cycle
499,Platinum,FEMALE,3,6,9,322.42,2784.01,117.8,322.42,USD,Debit Card,Cancelled,15,On-Time,1,Corporate,9,739,6655,5,8,PayPal,1,9,1,Online,Laptops,Apple,Laptops,437,20,3,In Stock,Active,"Tampa, Florida",New Customer,Old,0.11581136562009475,0.3653619502512251,3,739.4444444444445,0.3333333333333333
500,Silver,MALE,1,3,12,89.18,999.66,48.04,89.18,NGN,Wallet,Delivered,0,On-Time,1,Corporate,8,982,7859,15,8,Cash,1,8,0,Offline,Laptops,Samsung,Laptops,811,15,2,In Stock,Active,"Tampa, Florida",Old Customer,Young,0.08921033151271433,0.5386858039919263,9,982.375,0.5
501,Gold,FEMALE,2,1,9,180.39,1551.88,66.81,180.39,NGN,Bank Transfer,Cancelled,44,Late,1,Corporate,10,982,9824,10,0,Debit Card,1,10,1,Online,Headphones,HP,Headphones,926,15,5,In Stock,Active,"Redondo Beach, California",Old Customer,Old,0.11623965770549267,0.37036421087643445,8,982.4,0.2
502,Silver,FEMALE,2,9,12,161.31,1851.36,84.4,161.31,NGN,Wallet,Pending,0,On-Time,1,Retail,9,784,7056,10,10,Credit Card,1,9,0,Online,Smart Watches,Samsung,Smart Watches,724,0,1,In Stock,Active,"Springfield, Virginia",New Customer,Middle age,0.0871305418719212,0.5232161676275495,3,784.0,1.0
503,Platinum,FEMALE,4,5,12,351.27,4023.28,191.94,351.27,USD,Bank Transfer,Shipped,85,Late,1,SME,8,877,7020,10,8,Credit Card,1,8,0,Online,Laptops,Sony,Laptops,1101,5,3,Low Stock,Active,"Philadelphia, Pennsylvania",New Customer,Middle age,0.08730935952754965,0.5464172858484926,7,877.5,0.3333333333333333
504,Platinum,FEMALE,4,8,9,419.26,3674.16,99.19,419.26,USD,Auto-Debit,Returned,0,On-Time,1,Retail,5,793,3966,5,8,Credit Card,1,5,0,Online,Smartphones,Apple,Smartphones,519,20,10,In Stock,Inactive,"Philadelphia, Pennsylvania",Old Customer,Middle age,0.11411043612689703,0.2365835042694271,1,793.2,0.1
505,Bronze,FEMALE,1,3,9,197.83,1738.66,41.79,197.83,NGN,Debit Card,Shipped,71,Late,1,Corporate,1,492,492,5,8,Mobile Money,1,1,0,Online,Headphones,Samsung,Headphones,1148,10,13,In Stock,Inactive,"Philadelphia, Pennsylvania",New Customer,Middle age,0.11378302830915762,0.21124197543345294,6,492.0,0.07692307692307693
506,Bronze,FEMALE,4,6,9,89.34,782.26,21.76,89.34,USD,Auto-Debit,Delivered,0,On-Time,1,Retail,4,994,3977,5,10,PayPal,1,4,0,Online,Headphones,Apple,Headphones,265,5,16,In Stock,Inactive,"Los Angeles, California",Old Customer,Old,0.11420755247615882,0.24356391314081038,3,994.25,0.0625
507,Silver,MALE,4,1,3,269.26,787.37,20.42,269.26,EUR,Auto-Debit,Delivered,0,On-Time,1,SME,1,440,440,0,10,PayPal,1,1,0,Online,Smartphones,Other Brands,Smartphones,1084,20,18,In Stock,Active,"Cleveland, Ohio",New Customer,Old,0.34197391315391745,0.07583748050211692,2,440.0,0.05555555555555555
508,Bronze,MALE,2,2,6,809.27,4761.76,93.87,809.27,EUR,Wallet,Pending,3,On-Time,1,SME,9,424,3814,0,8,PayPal,1,9,0,Online,Headphones,HP,Headphones,982,0,7,In Stock,Inactive,"Cleveland, Ohio",Old Customer,Young,0.1699518665367427,0.1159934261742064,4,423.77777777777777,0.14285714285714285
509,Platinum,MALE,2,6,12,408.29,4747.4,152.13,408.29,USD,Bank Transfer,Cancelled,0,On-Time,1,Corporate,2,776,1552,0,0,Cash,1,2,1,Offline,Headphones,Sony,Headphones,1057,5,1,In Stock,Active,"Dallas, Texas",New Customer,Young,0.08600286472595527,0.37260280682847974,6,776.0,1.0
510,Platinum,FEMALE,4,2,9,204.85,1818.67,25.0,204.85,EUR,Wallet,Delivered,7,On-Time,1,Retail,2,635,1270,5,5,Credit Card,1,2,0,Online,Smart Watches,Sony,Smart Watches,198,20,9,In Stock,Archived,"Dallas, Texas",New Customer,Middle age,0.11263725689652328,0.12204051745179399,7,635.0,0.1111111111111111
511,Silver,FEMALE,2,7,9,131.27,1133.66,47.74,131.27,USD,Bank Transfer,Cancelled,71,Late,1,SME,7,228,1595,5,0,Mobile Money,1,7,1,Online,Tablets,HP,Tablets,434,10,14,In Stock,Archived,"San Francisco, California",New Customer,Middle age,0.11579309493146094,0.363677915746172,2,227.85714285714286,0.07142857142857142
512,Bronze,MALE,1,1,6,408.75,2370.75,81.76,408.75,NGN,Auto-Debit,Pending,0,On-Time,1,Corporate,8,11,90,5,5,Credit Card,1,8,0,Online,Headphones,Other Brands,Headphones,1264,10,6,In Stock,Archived,"San Francisco, California",New Customer,Middle age,0.1724137931034483,0.2000244648318043,5,11.25,0.16666666666666666
513,Gold,FEMALE,4,2,3,1525.79,4343.06,187.53,1525.79,EUR,Debit Card,Shipped,0,On-Time,1,SME,4,259,1038,0,5,Credit Card,1,4,0,Online,Tablets,Apple,Tablets,1509,10,11,In Stock,Archived,"Seattle, Washington",New Customer,Young,0.35131681349094873,0.12290682203973025,1,259.5,0.09090909090909091
514,Bronze,MALE,4,1,6,581.66,3455.17,34.77,581.66,EUR,Wallet,Returned,0,On-Time,1,SME,1,533,533,15,8,Cash,1,1,0,Offline,Tablets,Samsung,Tablets,56,20,14,In Stock,Archived,"Philadelphia, Pennsylvania",Old Customer,Middle age,0.1683448281850097,0.05977718942337449,5,533.0,0.07142857142857142
515,Gold,FEMALE,3,6,9,116.63,1022.59,27.09,116.63,EUR,Bank Transfer,Shipped,133,Late,1,Corporate,10,655,6553,5,8,PayPal,1,10,0,Online,Laptops,Apple,Laptops,447,5,9,In Stock,Active,"Noblesville, Indiana",Old Customer,Middle age,0.11405353074057051,0.23227300008574125,3,655.3,0.1111111111111111
516,Gold,FEMALE,2,2,3,897.71,2638.06,55.07,897.71,EUR,Debit Card,Delivered,77,Late,1,SME,8,515,4120,15,5,Credit Card,1,8,0,Online,Headphones,Samsung,Headphones,910,5,13,In Stock,Inactive,"Palatine, Illinois",New Customer,Middle age,0.34029172952851716,0.0613449777767876,1,515.0,0.07692307692307693
517,Gold,FEMALE,2,9,9,201.74,1751.21,64.45,201.74,NGN,Wallet,Delivered,63,Late,1,Retail,3,717,2150,5,8,Debit Card,1,3,0,Online,Laptops,Other Brands,Laptops,839,5,6,In Stock,Inactive,"Philadelphia, Pennsylvania",Old Customer,Middle age,0.11520034718851538,0.31947060573014774,0,716.6666666666666,0.16666666666666666
518,Gold,FEMALE,1,5,9,224.12,1924.6,92.51,224.12,EUR,Auto-Debit,Pending,28,Late,1,Corporate,4,495,1982,15,8,Debit Card,1,4,0,Online,Tablets,Sony,Tablets,127,5,17,In Stock,Inactive,"Seattle, Washington",New Customer,Young,0.11645017146420036,0.4127699446724969,4,495.5,0.058823529411764705
519,Gold,MALE,5,5,6,90.73,522.06,22.35,90.73,NGN,Auto-Debit,Cancelled,10,On-Time,1,Corporate,5,781,3907,5,8,PayPal,1,5,1,Online,Tablets,Sony,Tablets,1082,0,2,In Stock,Inactive,"San Francisco, California",New Customer,Old,0.17379228441175346,0.2463352805025901,1,781.4,0.5
520,Silver,FEMALE,2,7,9,26.23,228.72,7.37,26.23,USD,Wallet,Delivered,0,On-Time,1,SME,5,431,2155,10,8,Credit Card,1,5,0,Online,Smartphones,Sony,Smartphones,953,0,8,In Stock,Active,"San Francisco, California",Old Customer,Middle age,0.11468170689052117,0.2809759817003431,2,431.0,0.125
521,Silver,MALE,2,7,9,509.47,4363.54,211.22,509.47,EUR,Debit Card,Cancelled,0,On-Time,1,Corporate,4,418,1674,5,5,PayPal,1,4,1,Online,Tablets,Sony,Tablets,429,5,6,In Stock,Active,"Louisville, Kentucky",New Customer,Old,0.11675612003098403,0.41458770879541484,2,418.5,0.16666666666666666
522,Gold,FEMALE,4,11,12,398.53,4651.03,131.31,398.53,USD,Bank Transfer,Pending,0,On-Time,1,Retail,4,975,3901,0,0,PayPal,1,4,0,Online,Smartphones,Other Brands,Smartphones,507,5,10,In Stock,Inactive,"Knoxville, Tennessee",Old Customer,Middle age,0.08568639634661569,0.32948586053747525,1,975.25,0.1
523,Bronze,FEMALE,1,12,12,258.9,3059.21,47.53,258.9,USD,Wallet,Shipped,30,Late,1,Retail,8,709,5674,15,10,Credit Card,1,8,0,Online,Smartphones,Samsung,Smartphones,916,20,18,In Stock,Inactive,"Boynton Beach, Florida",Old Customer,Middle age,0.08462969197930184,0.18358439551950562,0,709.25,0.05555555555555555
524,Gold,MALE,2,5,6,304.6,1788.88,38.74,304.6,EUR,Debit Card,Returned,7,On-Time,1,Corporate,6,714,4283,5,0,Mobile Money,1,6,0,Online,Tablets,Other Brands,Tablets,506,5,1,In Stock,Active,"Boynton Beach, Florida",Old Customer,Middle age,0.17027413800813918,0.12718319107025608,1,713.8333333333334,1.0
525,Bronze,FEMALE,4,2,3,1549.76,4432.3,216.97,1549.76,NGN,Wallet,Shipped,0,On-Time,1,SME,2,223,446,0,0,Mobile Money,1,2,0,Online,Tablets,Samsung,Tablets,752,15,10,In Stock,Archived,"Pasadena, Texas",New Customer,Middle age,0.3496514225120141,0.14000232294032625,1,223.0,0.1
526,Gold,MALE,5,2,6,41.4,240.33,8.04,41.4,EUR,Bank Transfer,Delivered,0,On-Time,1,Retail,5,419,2097,10,5,Credit Card,1,5,0,Online,Headphones,Sony,Headphones,711,10,19,In Stock,Active,"Pasadena, Texas",New Customer,Old,0.1722631381849956,0.19420289855072462,4,419.4,0.05263157894736842
527,Silver,FEMALE,3,9,9,463.91,4008.55,134.64,463.91,NGN,Bank Transfer,Delivered,0,On-Time,1,SME,8,793,6341,15,5,Credit Card,1,8,0,Online,Tablets,Apple,Tablets,269,0,4,In Stock,Active,"Pasadena, Texas",New Customer,Old,0.1157301268538499,0.2902287081545989,0,792.625,0.25
528,Gold,FEMALE,4,1,3,265.92,722.25,28.79,265.92,USD,Auto-Debit,Pending,5,On-Time,1,Retail,1,611,611,15,0,Credit Card,1,1,0,Online,Smartphones,Samsung,Smartphones,1466,0,10,In Stock,Active,"Akron, Ohio",New Customer,Young,0.3681827622014538,0.1082656438026474,2,611.0,0.1
529,Platinum,FEMALE,1,1,9,554.73,4923.96,68.62,554.73,NGN,Wallet,Cancelled,79,Late,1,Retail,4,931,3725,0,10,Credit Card,1,4,1,Online,Tablets,HP,Tablets,853,20,9,In Stock,Inactive,"Los Angeles, California",New Customer,Young,0.11265932298393976,0.12369981792944315,8,931.25,0.1111111111111111
530,Silver,FEMALE,3,5,9,94.31,819.19,29.62,94.31,EUR,Debit Card,Delivered,126,Late,1,SME,3,673,2018,15,0,Cash,1,3,0,Offline,Tablets,Samsung,Tablets,554,20,8,In Stock,Active,"Tamarac, Florida",Old Customer,Young,0.11512591706441729,0.3140706181741067,4,672.6666666666666,0.125
531,Silver,MALE,1,2,6,30.27,174.52,7.09,30.27,USD,Wallet,Cancelled,72,Late,1,SME,6,473,2841,10,10,Debit Card,1,6,1,Online,Smart Watches,Sony,Smart Watches,1148,15,19,In Stock,Active,"Los Angeles, California",Old Customer,Young,0.17344716937886773,0.23422530558308557,4,473.5,0.05263157894736842
532,Gold,MALE,3,1,3,1291.15,3721.3,152.16,1291.15,EUR,Auto-Debit,Pending,108,Late,1,SME,4,286,1146,10,10,Cash,1,4,0,Offline,Smartphones,Samsung,Smartphones,1237,10,5,In Stock,Inactive,"Los Angeles, California",New Customer,Young,0.34696208314298765,0.11784842969445841,2,286.5,0.2
533,Silver,MALE,3,5,6,329.54,1903.77,73.49,329.54,USD,Auto-Debit,Shipped,31,Late,1,Corporate,6,920,5520,5,10,PayPal,1,6,0,Online,Laptops,Samsung,Laptops,427,15,5,In Stock,Active,"Meriden, Connecticut",Old Customer,Old,0.17309864111736187,0.22300782909510222,1,920.0,0.2
534,Bronze,FEMALE,1,4,6,165.97,966.46,29.39,165.97,EUR,Wallet,Returned,0,On-Time,1,SME,8,825,6601,0,0,Cash,1,8,0,Offline,Headphones,Other Brands,Headphones,481,15,15,In Stock,Active,"Los Angeles, California",New Customer,Young,0.17172981809904186,0.1770801952160029,2,825.125,0.06666666666666667
535,Gold,FEMALE,4,9,9,142.47,1234.9,47.37,142.47,EUR,Wallet,Shipped,90,Late,1,Corporate,5,830,4149,15,10,Credit Card,1,5,0,Online,Smart Watches,Sony,Smart Watches,1164,0,13,In Stock,Archived,"Los Angeles, California",New Customer,Middle age,0.11536966555996436,0.3324910507475258,0,829.8,0.07692307692307693
536,Gold,MALE,4,12,12,182.79,2162.07,31.37,182.79,EUR,Bank Transfer,Delivered,0,On-Time,1,Retail,6,726,4358,0,0,Mobile Money,1,6,0,Online,Headphones,HP,Headphones,1011,5,18,In Stock,Archived,"Los Angeles, California",Old Customer,Young,0.08454397868709153,0.1716177033754582,0,726.3333333333334,0.05555555555555555
537,Silver,MALE,2,7,12,180.52,2109.67,56.57,180.52,EUR,Wallet,Delivered,0,On-Time,1,Retail,6,603,3618,15,8,Cash,1,6,0,Offline,Smartphones,Samsung,Smartphones,1438,15,19,In Stock,Archived,"Bristol, Connecticut",New Customer,Old,0.08556788502467211,0.3133724795036561,5,603.0,0.05263157894736842
538,Bronze,MALE,1,3,3,337.76,966.46,40.02,337.76,NGN,Wallet,Pending,10,On-Time,1,Corporate,7,247,1728,5,8,Credit Card,1,7,0,Online,Headphones,Samsung,Headphones,942,10,3,In Stock,Archived,"Bristol, Connecticut",Old Customer,Old,0.34948161331043187,0.1184864992894363,0,246.85714285714286,0.3333333333333333
539,Silver,FEMALE,3,2,9,452.85,3942.66,133.0,452.85,EUR,Auto-Debit,Cancelled,0,On-Time,1,Corporate,2,658,1316,10,0,Credit Card,1,2,1,Online,Smartphones,Sony,Smartphones,1045,15,13,In Stock,Active,"Nashville, Tennessee",Old Customer,Middle age,0.11485900381975621,0.2936954841559015,7,658.0,0.07692307692307693
540,Silver,FEMALE,2,9,9,495.81,4354.82,107.47,495.81,NGN,Bank Transfer,Delivered,132,Late,1,SME,1,101,101,5,5,PayPal,1,1,0,Online,Laptops,Samsung,Laptops,1215,0,4,In Stock,Archived,"Nashville, Tennessee",New Customer,Middle age,0.11385315581355832,0.21675641878945565,0,101.0,0.25
541,Bronze,FEMALE,2,12,12,26.55,306.99,11.65,26.55,NGN,Wallet,Cancelled,86,Late,1,Retail,3,938,2813,15,5,Credit Card,1,3,1,Online,Laptops,Sony,Laptops,694,15,2,Low Stock,Archived,"Morristown, New Jersey",Old Customer,Young,0.08648490178833186,0.4387947269303202,0,937.6666666666666,0.5
542,Gold,MALE,1,3,9,524.94,4534.16,190.32,524.94,USD,Bank Transfer,Pending,35,Late,1,Retail,9,156,1404,5,5,PayPal,1,9,0,Online,Smart Watches,Other Brands,Smart Watches,132,20,12,In Stock,Inactive,"Morristown, New Jersey",Old Customer,Young,0.11577447641900596,0.36255572065378894,6,156.0,0.08333333333333333
543,Silver,FEMALE,3,1,3,1072.31,3093.75,123.17,1072.31,EUR,Auto-Debit,Shipped,0,On-Time,1,SME,3,401,1202,5,5,Credit Card,1,3,0,Online,Headphones,Apple,Headphones,158,15,6,In Stock,Archived,"Houston, Texas",New Customer,Young,0.3466052525252525,0.11486417174138076,2,400.6666666666667,0.16666666666666666
544,Platinum,MALE,4,3,3,1699.25,4968.59,129.15,1699.25,EUR,Wallet,Returned,54,Late,1,Retail,8,247,1974,5,0,Debit Card,1,8,0,Online,Smart Watches,Samsung,Smart Watches,555,15,17,In Stock,Inactive,"Houston, Texas",Old Customer,Middle age,0.3419984341634146,0.07600411946446962,0,246.75,0.058823529411764705
545,Gold,MALE,4,1,3,460.49,1339.6,41.87,460.49,USD,Auto-Debit,Shipped,0,On-Time,1,Corporate,4,685,2738,5,5,Credit Card,1,4,0,Online,Headphones,Other Brands,Headphones,582,20,5,Low Stock,Inactive,"New York City, New York",Old Customer,Old,0.343751866228725,0.09092488436230971,2,684.5,0.2
546,Platinum,MALE,3,5,6,671.6,3863.04,124.84,671.6,NGN,Auto-Debit,Delivered,26,Late,1,Corporate,4,153,611,5,5,Debit Card,1,4,0,Online,Laptops,HP,Laptops,680,0,11,In Stock,Active,"Seattle, Washington",New Customer,Middle age,0.17385271703114646,0.1858844550327576,1,152.75,0.09090909090909091
547,Bronze,FEMALE,3,8,9,495.54,4276.47,183.35,495.54,EUR,Bank Transfer,Delivered,0,On-Time,1,SME,6,103,617,10,5,PayPal,1,6,0,Online,Laptops,Samsung,Laptops,323,15,15,Low Stock,Inactive,"Los Angeles, California",Old Customer,Young,0.11587594441209689,0.370000403600113,1,102.83333333333333,0.06666666666666667
548,Bronze,MALE,2,3,9,363.5,3160.87,70.83,363.5,NGN,Wallet,Pending,0,On-Time,1,SME,5,706,3530,5,8,Mobile Money,1,5,0,Online,Tablets,Sony,Tablets,1242,20,19,In Stock,Active,"Chicago, Illinois",New Customer,Middle age,0.11499998418157027,0.19485557083906466,6,706.0,0.05263157894736842
549,Gold,FEMALE,3,6,6,736.05,4230.14,186.19,736.05,EUR,Bank Transfer,Cancelled,30,Late,1,SME,10,148,1476,10,8,Credit Card,1,10,1,Online,Tablets,Apple,Tablets,178,0,4,In Stock,Inactive,"New York City, New York",New Customer,Young,0.17400133328920553,0.2529583588071463,0,147.6,0.25
550,Platinum,MALE,2,8,9,481.82,4197.93,138.41,481.82,NGN,Wallet,Delivered,12,On-Time,1,SME,4,910,3642,15,10,PayPal,1,4,0,Online,Smartphones,Samsung,Smartphones,513,15,8,In Stock,Active,"New York City, New York",New Customer,Young,0.1147756156010224,0.28726495371715577,1,910.5,0.125
551,Platinum,FEMALE,3,5,9,360.6,3157.16,88.2,360.6,USD,Wallet,Cancelled,0,On-Time,1,Retail,10,982,9823,0,8,Cash,1,10,1,Offline,Smart Watches,Apple,Smart Watches,1273,5,8,In Stock,Active,"New York City, New York",New Customer,Old,0.11421657438964133,0.24459234608985025,4,982.3,0.125
552,Platinum,MALE,5,2,6,809.91,4730.89,128.56,809.91,NGN,Auto-Debit,Pending,0,On-Time,1,Retail,3,57,171,0,10,PayPal,1,3,0,Online,Smart Watches,Apple,Smart Watches,137,5,17,In Stock,Active,"Farmington, New Mexico",New Customer,Middle age,0.17119611743244928,0.15873368645898928,4,57.0,0.058823529411764705
553,Gold,MALE,5,2,6,113.89,659.98,23.35,113.89,USD,Bank Transfer,Shipped,0,On-Time,1,Retail,7,937,6557,5,5,Mobile Money,1,7,0,Online,Smartphones,HP,Smartphones,1018,0,8,In Stock,Archived,"Allen, Texas",New Customer,Young,0.17256583532834327,0.20502239002546319,4,936.7142857142857,0.125
554,Platinum,FEMALE,5,4,9,309.77,2692.32,95.65,309.77,EUR,Bank Transfer,Returned,15,On-Time,1,SME,3,27,82,15,8,PayPal,1,3,0,Online,Smart Watches,Sony,Smart Watches,1089,10,19,In Stock,Archived,"Allen, Texas",New Customer,Middle age,0.11505690259701669,0.30877748006585537,5,27.333333333333332,0.05263157894736842
555,Bronze,MALE,4,3,3,521.03,1468.27,63.99,521.03,USD,Wallet,Shipped,0,On-Time,1,Retail,1,892,892,0,10,PayPal,1,1,0,Online,Laptops,Sony,Laptops,1260,20,1,In Stock,Archived,"Bakersfield, California",Old Customer,Middle age,0.3548598009902811,0.12281442527301692,0,892.0,1.0
556,Gold,MALE,1,1,12,230.0,2669.24,60.2,230.0,NGN,Wallet,Delivered,0,On-Time,1,SME,9,138,1240,15,5,PayPal,1,9,0,Online,Smart Watches,Other Brands,Smart Watches,1227,20,8,Low Stock,Active,"Bakersfield, California",Old Customer,Middle age,0.08616684899072395,0.26173913043478264,11,137.77777777777777,0.125
557,Platinum,MALE,5,9,12,349.63,4140.51,55.09,349.63,NGN,Debit Card,Delivered,31,Late,1,SME,2,361,723,0,8,Credit Card,1,2,0,Online,Tablets,Sony,Tablets,731,0,7,In Stock,Inactive,"Bakersfield, California",New Customer,Middle age,0.08444128863352582,0.1575665703743958,3,361.5,0.14285714285714285
558,Silver,FEMALE,2,3,3,425.44,1261.48,14.84,425.44,EUR,Bank Transfer,Pending,0,On-Time,1,Corporate,5,909,4544,0,10,Cash,1,5,0,Offline,Laptops,Apple,Laptops,565,10,5,In Stock,Inactive,"Philadelphia, Pennsylvania",New Customer,Middle age,0.33725465326441956,0.03488153441143287,0,908.8,0.2
559,Bronze,FEMALE,1,3,6,852.22,4921.91,191.41,852.22,EUR,Debit Card,Cancelled,113,Late,1,Corporate,5,440,2198,10,5,Credit Card,1,5,1,Online,Laptops,Other Brands,Laptops,516,20,16,In Stock,Archived,"Aurora, Illinois",Old Customer,Young,0.17314822904116492,0.2246016286874281,3,439.6,0.0625
560,Silver,MALE,5,3,3,944.81,2729.84,59.31,944.81,USD,Auto-Debit,Delivered,89,Late,1,Corporate,3,633,1900,15,8,Credit Card,1,3,0,Online,Smartphones,Apple,Smartphones,1622,20,18,In Stock,Archived,"Aurora, Illinois",Old Customer,Old,0.34610453359903876,0.06277452609519375,0,633.3333333333334,0.05555555555555555
561,Gold,MALE,4,3,12,128.04,1498.49,38.0,128.04,EUR,Bank Transfer,Cancelled,0,On-Time,1,Retail,2,198,396,0,5,Cash,1,2,1,Offline,Headphones,Apple,Headphones,514,20,12,In Stock,Archived,"Helena, Montana",Old Customer,Middle age,0.08544601565576013,0.29678225554514215,9,198.0,0.08333333333333333
562,Gold,MALE,4,9,9,355.65,3069.19,131.69,355.65,EUR,Auto-Debit,Pending,49,Late,1,SME,6,590,3539,15,10,Credit Card,1,6,0,Online,Headphones,Sony,Headphones,522,15,8,In Stock,Archived,"Helena, Montana",Old Customer,Young,0.11587747907428343,0.3702797694362435,0,589.8333333333334,0.125
563,Bronze,MALE,3,3,12,259.99,3047.01,70.66,259.99,USD,Debit Card,Shipped,81,Late,1,SME,4,825,3302,10,8,Credit Card,1,4,0,Online,Smartphones,Sony,Smartphones,384,10,6,In Stock,Inactive,"Houston, Texas",New Customer,Middle age,0.08532627067190458,0.2717796838339936,9,825.5,0.16666666666666666
564,Platinum,FEMALE,4,5,6,703.99,4111.19,65.83,703.99,EUR,Auto-Debit,Returned,55,Late,1,Corporate,6,385,2311,10,8,Debit Card,1,6,0,Online,Smart Watches,HP,Smart Watches,767,15,18,In Stock,Inactive,"Houston, Texas",New Customer,Old,0.1712375249015492,0.09350985099220159,1,385.1666666666667,0.05555555555555555
565,Bronze,FEMALE,5,6,6,549.85,3216.46,82.62,549.85,NGN,Wallet,Shipped,0,On-Time,1,Retail,1,203,203,15,5,Credit Card,1,1,0,Online,Laptops,Other Brands,Laptops,766,20,10,In Stock,Inactive,"Houston, Texas",New Customer,Old,0.1709488070736151,0.15025916158952443,0,203.0,0.1
566,Bronze,MALE,1,2,3,1239.81,3589.99,100.63,1239.81,EUR,Auto-Debit,Delivered,0,On-Time,1,Corporate,8,191,1524,10,0,Mobile Money,1,8,0,Online,Smart Watches,HP,Smart Watches,1436,20,7,In Stock,Inactive,"Houston, Texas",Old Customer,Middle age,0.3453519369134733,0.08116566248054137,1,190.5,0.14285714285714285
567,Silver,MALE,2,4,6,410.71,2349.51,114.77,410.71,USD,Debit Card,Delivered,0,On-Time,1,Retail,6,356,2139,15,8,Credit Card,1,6,0,Online,Headphones,HP,Headphones,682,20,19,Low Stock,Archived,"Houston, Texas",Old Customer,Middle age,0.1748066618145911,0.2794429159260792,2,356.5,0.05263157894736842
568,Bronze,MALE,1,2,3,855.3,2502.44,63.45,855.3,NGN,Wallet,Pending,31,Late,1,Corporate,4,328,1311,10,8,PayPal,1,4,0,Online,Tablets,Other Brands,Tablets,699,15,7,In Stock,Active,"Houston, Texas",New Customer,Middle age,0.34178641645753743,0.07418449666783586,1,327.75,0.14285714285714285
569,Silver,FEMALE,4,9,12,259.61,2973.89,141.46,259.61,NGN,Wallet,Cancelled,0,On-Time,1,SME,6,829,4971,0,10,Credit Card,1,6,1,Online,Smartphones,HP,Smartphones,926,20,5,In Stock,Inactive,"Houston, Texas",Old Customer,Middle age,0.08729643665367583,0.5448942644736335,3,828.5,0.2
570,Platinum,FEMALE,2,6,6,803.53,4612.7,208.46,803.53,NGN,Bank Transfer,Delivered,0,On-Time,1,Corporate,10,466,4664,5,8,PayPal,1,10,0,Online,Laptops,Sony,Laptops,907,15,5,In Stock,Active,"Philadelphia, Pennsylvania",Old Customer,Old,0.17419949270492335,0.2594302639602753,0,466.4,0.2
571,Platinum,FEMALE,4,5,12,279.52,3240.78,113.41,279.52,EUR,Wallet,Cancelled,0,On-Time,1,Corporate,8,248,1985,10,5,Cash,1,8,1,Offline,Smart Watches,Other Brands,Smart Watches,472,15,17,In Stock,Archived,"Oklahoma City, Oklahoma",Old Customer,Young,0.08625084084695658,0.40573125357756157,7,248.125,0.058823529411764705
572,Platinum,MALE,1,6,12,417.39,4859.94,148.77,417.39,NGN,Auto-Debit,Pending,66,Late,1,Corporate,5,727,3636,15,5,Debit Card,1,5,0,Online,Tablets,Samsung,Tablets,284,10,10,In Stock,Inactive,"San Francisco, California",Old Customer,Old,0.08588377634291781,0.3564292388413714,6,727.2,0.1
573,Gold,FEMALE,1,2,6,508.34,2947.9,102.11,508.34,EUR,Debit Card,Shipped,0,On-Time,1,Corporate,3,664,1992,15,0,Cash,1,3,0,Offline,Laptops,Apple,Laptops,1268,20,19,In Stock,Archived,"San Francisco, California",New Customer,Middle age,0.1724413989619729,0.20086949679348468,4,664.0,0.05263157894736842
574,Gold,FEMALE,5,9,9,221.22,1945.45,45.56,221.22,EUR,Debit Card,Returned,0,On-Time,1,SME,4,693,2773,0,8,Debit Card,1,4,0,Online,Headphones,Sony,Headphones,657,15,2,In Stock,Active,"Minneapolis, Minnesota",New Customer,Young,0.11371148063430055,0.20594882921978122,0,693.25,0.5
575,Bronze,FEMALE,3,3,6,198.57,1140.51,50.92,198.57,USD,Wallet,Shipped,7,On-Time,1,Corporate,4,829,3314,0,5,PayPal,1,4,0,Online,Smart Watches,Apple,Smart Watches,182,10,11,In Stock,Archived,"Los Angeles, California",New Customer,Middle age,0.17410632085645894,0.2564334995215793,3,828.5,0.09090909090909091
576,Bronze,FEMALE,2,8,9,11.88,105.59,1.3,11.88,USD,Debit Card,Delivered,42,Late,1,Retail,1,15,15,0,8,Mobile Money,1,1,0,Online,Tablets,HP,Tablets,890,10,13,In Stock,Active,"Los Angeles, California",Old Customer,Middle age,0.11251065441803201,0.10942760942760943,1,15.0,0.07692307692307693
577,Platinum,MALE,4,9,9,72.12,616.65,26.39,72.12,USD,Wallet,Delivered,87,Late,1,SME,10,246,2464,0,5,PayPal,1,10,0,Online,Smartphones,Apple,Smartphones,205,10,6,In Stock,Inactive,"Los Angeles, California",Old Customer,Young,0.1169545122841158,0.3659179145867998,0,246.4,0.16666666666666666
578,Platinum,MALE,4,8,9,475.44,4152.9,126.09,475.44,NGN,Bank Transfer,Pending,85,Late,1,SME,3,478,1435,0,0,Cash,1,3,0,Offline,Smartphones,Apple,Smartphones,1005,10,11,In Stock,Archived,"Philadelphia, Pennsylvania",New Customer,Middle age,0.11448385465578272,0.26520696617869766,1,478.3333333333333,0.09090909090909091
